CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_sync.py
MEM 1.851562 1688078356.8394
MEM 8.625000 1688078356.9624
MEM 9.968750 1688078357.0737
MEM 14.300781 1688078357.1814
MEM 16.257812 1688078357.2903
MEM 19.105469 1688078357.4002
MEM 20.839844 1688078357.5092
MEM 22.011719 1688078357.6181
MEM 23.398438 1688078357.7272
MEM 25.050781 1688078357.8368
MEM 26.523438 1688078357.9561
MEM 27.265625 1688078358.0706
MEM 27.828125 1688078358.2098
MEM 27.992188 1688078358.3239
MEM 28.542969 1688078358.4380
MEM 29.804688 1688078358.5426
MEM 30.761719 1688078358.6563
MEM 33.464844 1688078358.7604
MEM 35.222656 1688078358.8717
MEM 36.640625 1688078358.9767
MEM 39.601562 1688078359.0867
MEM 40.804688 1688078359.1953
MEM 42.437500 1688078359.3039
MEM 44.656250 1688078359.4129
MEM 48.089844 1688078359.5223
MEM 48.242188 1688078359.6317
MEM 48.242188 1688078359.7417
MEM 48.250000 1688078359.8527
MEM 48.285156 1688078359.9617
MEM 48.324219 1688078360.0715
MEM 48.332031 1688078360.1799
MEM 48.335938 1688078360.2895
MEM 48.335938 1688078360.3981
MEM 48.343750 1688078360.5066
MEM 48.343750 1688078360.6166
MEM 48.347656 1688078360.7251
MEM 48.347656 1688078360.8343
MEM 48.347656 1688078360.9447
MEM 48.347656 1688078361.0527
MEM 48.347656 1688078361.1615
MEM 48.347656 1688078361.2703
MEM 48.347656 1688078361.3799
MEM 48.347656 1688078361.4888
MEM 48.347656 1688078361.5976
MEM 48.347656 1688078361.7053
MEM 48.347656 1688078361.8153
MEM 48.347656 1688078361.9250
MEM 48.347656 1688078362.0331
MEM 48.347656 1688078362.1413
MEM 48.347656 1688078362.2514
MEM 48.347656 1688078362.3683
MEM 48.347656 1688078362.4713
MEM 48.347656 1688078362.5803
MEM 48.347656 1688078362.6892
MEM 48.347656 1688078362.7979
MEM 48.347656 1688078362.9063
MEM 48.347656 1688078363.0182
MEM 48.347656 1688078363.1257
MEM 48.347656 1688078363.2389
MEM 48.347656 1688078363.3426
MEM 48.347656 1688078363.4521
MEM 48.347656 1688078363.5603
MEM 48.347656 1688078363.6701
MEM 48.347656 1688078363.7791
MEM 48.347656 1688078363.8864
MEM 48.347656 1688078363.9954
MEM 48.347656 1688078364.1046
MEM 48.347656 1688078364.2122
MEM 48.347656 1688078364.3227
MEM 48.347656 1688078364.4330
MEM 48.347656 1688078364.5409
MEM 48.347656 1688078364.6496
MEM 48.347656 1688078364.7590
MEM 48.347656 1688078364.8693
MEM 48.347656 1688078364.9784
MEM 48.347656 1688078365.0884
MEM 48.347656 1688078365.1979
MEM 48.347656 1688078365.3065
MEM 48.347656 1688078365.4142
MEM 48.347656 1688078365.5224
MEM 48.347656 1688078365.6333
MEM 48.347656 1688078365.7428
MEM 48.347656 1688078365.8537
MEM 48.347656 1688078365.9626
MEM 48.347656 1688078366.0713
MEM 48.347656 1688078366.1804
MEM 48.347656 1688078366.2904
MEM 48.347656 1688078366.3997
MEM 48.347656 1688078366.5073
MEM 48.347656 1688078366.6178
MEM 48.347656 1688078366.7255
MEM 48.347656 1688078366.8352
MEM 48.347656 1688078366.9438
MEM 48.347656 1688078367.0523
MEM 48.347656 1688078367.1614
MEM 48.347656 1688078367.2697
MEM 48.347656 1688078367.4081
MEM 48.347656 1688078367.5197
MEM 48.347656 1688078367.6303
MEM 48.347656 1688078367.7396
MEM 48.347656 1688078367.8480
MEM 48.347656 1688078367.9577
MEM 48.347656 1688078368.0749
MEM 48.347656 1688078368.1764
MEM 48.347656 1688078368.2840
MEM 48.347656 1688078368.3942
MEM 48.347656 1688078368.5041
MEM 48.347656 1688078368.6120
MEM 48.347656 1688078368.7217
MEM 48.347656 1688078368.8313
MEM 48.347656 1688078368.9404
MEM 48.347656 1688078369.0501
MEM 48.347656 1688078369.1595
MEM 48.347656 1688078369.2666
MEM 48.347656 1688078369.3753
MEM 48.347656 1688078369.4842
MEM 48.347656 1688078369.5954
MEM 48.347656 1688078369.7047
MEM 48.347656 1688078369.8139
MEM 48.347656 1688078369.9215
MEM 48.347656 1688078370.0314
MEM 47.867188 1688078370.1403
