CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_async.py
MEM 1.679688 1688078439.4529
MEM 9.191406 1688078439.5571
MEM 13.738281 1688078439.6657
MEM 17.652344 1688078439.7737
MEM 22.554688 1688078439.8829
MEM 25.984375 1688078439.9930
MEM 28.355469 1688078440.1032
MEM 29.832031 1688078440.2165
MEM 30.937500 1688078440.3195
MEM 33.082031 1688078440.4300
MEM 35.039062 1688078440.5385
MEM 36.386719 1688078440.6488
MEM 37.417969 1688078440.7589
MEM 39.570312 1688078440.8759
MEM 39.843750 1688078440.9910
MEM 40.003906 1688078441.1056
MEM 40.203125 1688078441.2173
MEM 40.433594 1688078441.3282
MEM 40.726562 1688078441.4384
MEM 40.933594 1688078441.5563
MEM 41.359375 1688078441.6778
MEM 41.531250 1688078441.7819
MEM 41.914062 1688078441.8914
MEM 43.714844 1688078441.9977
MEM 44.617188 1688078442.1092
MEM 45.496094 1688078442.2296
MEM 46.820312 1688078442.3415
MEM 50.484375 1688078442.4510
MEM 57.664062 1688078442.5600
MEM 59.101562 1688078442.6693
MEM 60.492188 1688078442.7790
MEM 65.167969 1688078442.8874
MEM 59.636719 1688078442.9970
MEM 58.039062 1688078443.1058
