CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_multihilo.py
MEM 1.703125 1688078511.9808
MEM 14.570312 1688078512.0950
MEM 21.750000 1688078512.2046
MEM 27.992188 1688078512.3130
MEM 32.683594 1688078512.4221
MEM 36.714844 1688078512.5324
MEM 39.617188 1688078512.6420
MEM 41.503906 1688078512.7512
MEM 44.363281 1688078512.8607
MEM 52.402344 1688078512.9698
MEM 52.445312 1688078513.0790
MEM 52.515625 1688078513.1889
MEM 54.390625 1688078513.2962
MEM 54.390625 1688078513.4067
MEM 55.937500 1688078513.5160
MEM 55.945312 1688078513.6251
MEM 55.949219 1688078513.7338
MEM 55.949219 1688078513.8440
MEM 55.949219 1688078513.9525
MEM 55.953125 1688078514.0609
MEM 55.953125 1688078514.1694
MEM 55.957031 1688078514.2781
MEM 53.957031 1688078514.3868
MEM 47.843750 1688078514.4953
