CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_multiprocess.py
MEM 1.710938 1688078574.4820
MEM 11.367188 1688078574.6057
MEM 16.078125 1688078574.7169
MEM 20.246094 1688078574.8417
MEM 21.164062 1688078574.9718
CHLD 0 7.402344 1688078575.0171
CHLD 1 8.082031 1688078575.0171
CHLD 2 7.375000 1688078575.0171
CHLD 3 8.101562 1688078575.0171
CHLD 4 7.816406 1688078575.0171
CHLD 5 7.218750 1688078575.0171
CHLD 6 7.800781 1688078575.0171
CHLD 7 7.257812 1688078575.0171
MEM 21.312500 1688078575.1331
CHLD 0 8.562500 1688078575.1532
CHLD 1 8.824219 1688078575.1532
CHLD 2 8.890625 1688078575.1532
CHLD 3 10.179688 1688078575.1532
CHLD 4 9.750000 1688078575.1532
CHLD 5 8.722656 1688078575.1532
CHLD 6 10.285156 1688078575.1532
CHLD 7 9.035156 1688078575.1532
MEM 21.312500 1688078575.2688
CHLD 0 10.242188 1688078575.2879
CHLD 1 11.078125 1688078575.2879
CHLD 2 11.421875 1688078575.2879
CHLD 3 12.328125 1688078575.2879
CHLD 4 11.628906 1688078575.2879
CHLD 5 9.875000 1688078575.2879
CHLD 6 11.984375 1688078575.2879
CHLD 7 9.886719 1688078575.2879
MEM 21.312500 1688078575.3974
CHLD 0 12.191406 1688078575.4135
CHLD 1 12.296875 1688078575.4135
CHLD 2 12.566406 1688078575.4135
CHLD 3 12.644531 1688078575.4135
CHLD 4 12.566406 1688078575.4135
CHLD 5 12.195312 1688078575.4135
CHLD 6 12.585938 1688078575.4135
CHLD 7 12.066406 1688078575.4135
MEM 21.312500 1688078575.5195
CHLD 0 12.964844 1688078575.5421
CHLD 1 12.718750 1688078575.5421
CHLD 2 14.761719 1688078575.5421
CHLD 3 15.992188 1688078575.5421
CHLD 4 16.039062 1688078575.5421
CHLD 5 13.218750 1688078575.5421
CHLD 6 13.164062 1688078575.5421
CHLD 7 13.398438 1688078575.5421
MEM 21.312500 1688078575.6480
CHLD 0 15.839844 1688078575.6666
CHLD 1 13.441406 1688078575.6666
CHLD 2 15.871094 1688078575.6666
CHLD 3 16.523438 1688078575.6666
CHLD 4 17.007812 1688078575.6666
CHLD 5 16.332031 1688078575.6666
CHLD 6 15.910156 1688078575.6666
CHLD 7 16.007812 1688078575.6666
MEM 21.312500 1688078575.7750
CHLD 0 17.082031 1688078575.7994
CHLD 1 16.292969 1688078575.7994
CHLD 2 16.738281 1688078575.7994
CHLD 3 17.804688 1688078575.7994
CHLD 4 19.609375 1688078575.7994
CHLD 5 19.238281 1688078575.7994
CHLD 6 16.398438 1688078575.7994
CHLD 7 17.007812 1688078575.7994
MEM 21.312500 1688078575.9155
CHLD 0 17.527344 1688078575.9537
CHLD 1 16.785156 1688078575.9537
CHLD 2 18.167969 1688078575.9537
CHLD 3 19.328125 1688078575.9537
CHLD 4 19.765625 1688078575.9537
CHLD 5 19.339844 1688078575.9537
CHLD 6 17.175781 1688078575.9537
CHLD 7 18.218750 1688078575.9537
MEM 21.312500 1688078576.1355
CHLD 0 18.441406 1688078576.1626
CHLD 1 17.207031 1688078576.1626
CHLD 2 19.820312 1688078576.1626
CHLD 3 19.699219 1688078576.1626
CHLD 4 20.289062 1688078576.1626
CHLD 5 20.121094 1688078576.1626
CHLD 6 18.238281 1688078576.1626
CHLD 7 18.402344 1688078576.1626
MEM 21.312500 1688078576.2741
CHLD 0 19.652344 1688078576.2932
CHLD 1 17.789062 1688078576.2942
CHLD 2 20.187500 1688078576.2942
CHLD 3 20.265625 1688078576.2942
CHLD 4 20.457031 1688078576.2942
CHLD 5 20.367188 1688078576.2942
CHLD 6 19.050781 1688078576.2942
CHLD 7 19.929688 1688078576.2942
MEM 21.312500 1688078576.3972
CHLD 0 20.214844 1688078576.4208
CHLD 1 19.937500 1688078576.4208
CHLD 2 20.707031 1688078576.4219
CHLD 3 20.605469 1688078576.4219
CHLD 4 21.132812 1688078576.4219
CHLD 5 20.687500 1688078576.4219
CHLD 6 20.132812 1688078576.4219
CHLD 7 20.308594 1688078576.4219
MEM 21.312500 1688078576.5375
CHLD 0 21.968750 1688078576.5601
CHLD 1 20.492188 1688078576.5601
CHLD 2 21.800781 1688078576.5607
CHLD 3 21.769531 1688078576.5607
CHLD 4 24.707031 1688078576.5607
CHLD 5 24.718750 1688078576.5607
CHLD 6 20.781250 1688078576.5607
CHLD 7 20.968750 1688078576.5607
MEM 21.312500 1688078576.6751
CHLD 0 24.761719 1688078576.7005
CHLD 1 22.082031 1688078576.7005
CHLD 2 22.093750 1688078576.7005
CHLD 3 22.054688 1688078576.7005
CHLD 4 24.710938 1688078576.7005
CHLD 5 24.800781 1688078576.7005
CHLD 6 24.781250 1688078576.7005
CHLD 7 22.039062 1688078576.7005
MEM 21.312500 1688078576.8009
CHLD 0 24.765625 1688078576.8184
CHLD 1 22.101562 1688078576.8184
CHLD 2 22.113281 1688078576.8184
CHLD 3 22.070312 1688078576.8184
CHLD 4 24.734375 1688078576.8184
CHLD 5 24.808594 1688078576.8184
CHLD 6 24.835938 1688078576.8184
CHLD 7 22.136719 1688078576.8184
MEM 21.312500 1688078576.9249
CHLD 0 24.789062 1688078576.9384
CHLD 1 24.835938 1688078576.9384
CHLD 2 24.937500 1688078576.9384
CHLD 3 24.964844 1688078576.9384
CHLD 4 24.734375 1688078576.9384
CHLD 5 24.828125 1688078576.9384
CHLD 6 24.894531 1688078576.9384
CHLD 7 24.914062 1688078576.9384
MEM 21.324219 1688078577.0533
CHLD 0 24.867188 1688078577.0669
CHLD 1 24.937500 1688078577.0669
CHLD 2 24.941406 1688078577.0669
CHLD 3 24.968750 1688078577.0669
CHLD 4 24.757812 1688078577.0669
CHLD 5 24.843750 1688078577.0669
CHLD 6 24.914062 1688078577.0669
CHLD 7 24.917969 1688078577.0669
MEM 21.324219 1688078577.1764
CHLD 0 24.882812 1688078577.1859
CHLD 1 24.953125 1688078577.1859
CHLD 2 24.960938 1688078577.1859
CHLD 3 24.988281 1688078577.1859
CHLD 4 24.757812 1688078577.1859
CHLD 5 24.847656 1688078577.1859
CHLD 6 24.921875 1688078577.1859
CHLD 7 24.968750 1688078577.1859
MEM 21.324219 1688078577.3007
CHLD 0 24.882812 1688078577.3118
CHLD 1 24.957031 1688078577.3118
CHLD 2 24.960938 1688078577.3118
CHLD 3 25.000000 1688078577.3118
CHLD 4 24.761719 1688078577.3118
CHLD 5 24.847656 1688078577.3118
CHLD 6 24.921875 1688078577.3118
CHLD 7 25.003906 1688078577.3118
MEM 21.324219 1688078577.4247
CHLD 0 24.886719 1688078577.4342
CHLD 1 24.957031 1688078577.4342
CHLD 2 24.964844 1688078577.4342
CHLD 3 25.003906 1688078577.4342
CHLD 4 24.761719 1688078577.4342
CHLD 5 24.851562 1688078577.4342
CHLD 6 24.921875 1688078577.4342
