codigo,lab1,lab2,lab3,lab4,lab5,lab6,lab7,lab8,lab9,lab10,lab11,lab12,e1,e2
20230001,20,15,14,16,9,12,7,14,20,16,17,20,8,18
20230002,6,7,5,2,21,14,14,15,11,3,18,11,5,16
20230003,6,7,8,11,6,3,5,12,0,15,10,4,13,7
20230004,3,2,19,0,7,9,14,6,3,15,10,11,15,19
20230005,6,9,8,2,17,17,10,4,1,11,5,12,8,21
20230006,4,8,5,16,11,4,18,6,14,14,7,17,8,20
20230007,21,15,19,16,18,5,19,20,8,18,0,7,13,11
20230008,19,1,3,2,0,10,2,3,15,0,18,2,14,14
20230009,11,16,16,1,19,3,12,1,13,18,10,2,2,6
20230010,0,2,16,11,13,4,20,6,9,19,19,21,5,21
20230011,19,9,4,3,5,15,2,10,9,1,2,5,7,16
20230012,2,16,13,15,21,14,8,2,18,11,0,16,4,15
20230013,5,0,6,5,1,21,21,21,16,2,1,21,2,21
20230014,8,13,0,16,2,3,9,6,15,21,19,12,1,0
20230015,4,1,19,3,14,7,2,19,3,12,7,18,10,17
20230016,3,18,19,5,13,17,7,11,3,16,18,17,16,16
20230017,1,19,15,3,12,6,19,15,11,3,9,6,5,19
20230018,7,1,3,0,7,3,1,6,10,2,13,6,2,6
20230019,2,17,9,16,13,2,3,16,15,3,14,14,1,10
20230020,10,9,12,1,9,13,19,15,18,10,2,5,10,15
20230021,15,8,8,5,19,13,12,17,9,10,20,20,9,16
20230022,21,6,8,12,11,13,8,17,13,15,15,17,3,20
20230023,7,14,7,11,6,7,7,14,14,17,11,19,1,19
20230024,10,10,4,10,16,21,17,18,12,19,4,12,12,19
20230025,6,6,14,12,12,5,2,5,7,8,2,3,10,12
20230026,8,4,10,21,21,18,19,10,13,19,12,8,5,1
20230027,15,13,21,17,1,10,19,13,10,8,16,10,8,18
20230028,16,4,12,11,3,2,6,19,4,9,7,8,13,7
20230029,15,3,16,17,16,20,1,3,2,3,7,2,9,14
20230030,7,13,13,15,18,15,0,13,16,10,20,15,9,11
20230031,8,5,14,8,9,21,9,8,11,13,15,13,5,11
20230032,14,10,8,19,17,19,12,2,9,8,12,5,19,4
20230033,19,0,9,5,0,7,2,13,19,6,19,15,18,16
20230034,15,14,17,0,19,19,3,19,15,19,13,12,12,14
20230035,5,10,1,20,8,12,0,12,7,5,12,13,1,19
20230036,20,21,2,20,15,11,20,9,7,11,21,5,20,16
20230037,6,21,2,10,8,15,17,14,20,11,21,3,10,13
20230038,2,0,2,10,15,17,16,9,18,3,18,9,6,2
20230039,6,15,5,18,14,15,7,16,7,19,16,13,12,7
20230040,14,16,1,0,4,10,17,10,20,8,9,5,10,7
